id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
4179,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,185,185,187,187,187,187",48.00,"2024-11-26 14:44:24.943594","2024-12-01 21:05:53.433216,2024-12-01 21:05:41.887151,2024-12-01 21:06:11.041500,2024-12-01 21:06:11.024338,2024-12-01 20:58:57.364387,2024-12-01 20:52:39.695303,2024-12-01 20:59:24.618556,2024-12-01 20:54:15.774565"
4180,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-26 15:02:57.063659","2024-12-08 02:42:47.305679,2024-12-08 02:42:53.689187,2024-12-08 02:36:59.500106,2024-12-08 02:37:04.122602"
4198,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-26 16:54:53.386614","2024-11-29 02:29:09.474116,2024-11-29 02:29:27.911002,2024-11-29 02:20:01.801549,2024-11-29 02:19:19.393516"
4203,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-26 20:14:51.694957","2024-12-01 21:05:04.721385,2024-12-01 21:05:31.388188,2024-12-01 20:58:11.869072,2024-12-01 20:54:49.902214"
4204,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-26 20:30:29.748542",NULL
4205,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Kinderen,Kinderen,Kinderen,Volwassen,Volwassen,Kinderen,Kinderen","183,183,184,184,184,185,185,186,186",0.00,"2024-11-26 21:31:19.602122","2024-11-29 17:22:47.757074,2024-11-29 17:22:47.755588"
4206,"Schaatsverhuur,Entree schaatsbaan","Volwassen,Volwassen","187,185",12.00,"2024-11-26 21:55:41.210740","2024-12-01 20:51:48.321962,2024-12-01 20:59:04.194538"
4229,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-27 00:45:32.410939","2024-12-21 19:07:56.139392,2024-12-21 19:07:48.914665"
4230,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-27 03:13:49.650070","2024-12-01 02:15:56.378788,2024-12-01 02:16:03.352743"
4231,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-27 03:30:29.935780","2024-11-30 21:05:55.339932,2024-11-30 21:05:47.888122,2024-11-30 21:00:24.379483,2024-11-30 21:00:28.993343"
4233,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen,Kinderen","185,185,185,185,185,185,186,186,186",16.50,"2024-11-27 14:17:43.706485","2024-11-30 22:11:14.385021,2024-11-30 22:11:14.366120,2024-11-30 21:59:38.969573,2024-11-30 22:10:39.642892,2024-11-30 22:10:39.628650,2024-11-30 21:59:43.586220,2024-11-30 22:10:59.983055,2024-11-30 22:10:59.967335,2024-11-30 21:59:46.763687"
