id,products,productsVariants,productsVariants,total,createdAt,scannedAt
568,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-29 17:26:47.996465,NULL
569,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-29 17:37:06.912757,NULL
570,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-29 19:08:54.819931,2023-12-16 23:50:29.104356
572,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-29 20:33:40.378659,"2023-12-16 21:30:26.767456,2023-12-16 21:30:16.383152"
573,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-29 20:58:07.516213,"2023-11-30 23:22:02.678075,2023-11-30 23:21:56.852798"
578,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen","150,150,150",16.00,2023-11-30 00:02:10.502547,"2023-12-08 20:39:06.604222,2023-12-08 20:39:14.431746"
579,"Reuzenrad ,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","150,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143",38.00,2023-11-30 00:02:12.111331,"2023-11-30 00:38:25.128011,2023-11-30 00:38:29.612321,2023-11-30 00:38:29.627010,2023-11-30 00:39:28.408670,2023-11-30 00:39:28.436109,2023-11-30 00:39:30.116756,2023-11-30 00:39:30.129673,2023-11-30 00:39:50.712709,2023-11-30 00:39:50.733018,2023-11-30 00:39:52.288962,2023-11-30 00:39:52.302465,2023-11-30 00:39:59.956688,2023-11-30 00:39:59.974412,2023-11-30 00:40:00.675229,2023-11-30 00:40:00.690170"
581,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-30 01:02:45.560984,"2023-12-06 00:46:12.835537,2023-12-06 00:46:19.143372"
582,Entree schaatsbaan,Volwassen,143,6.00,2023-11-30 01:15:13.886114,2023-11-30 20:47:13.692802
584,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","143,143,143,150,150,150,150",38.00,2023-11-30 01:21:53.339301,"2023-11-30 01:31:05.618377,2023-11-30 01:31:06.962864,2023-11-30 01:31:06.973536,2023-11-30 01:34:58.615356,2023-11-30 01:35:08.631578,2023-11-30 01:49:27.552727,2023-11-30 01:49:33.687734"
586,"Schaatsverhuur,Schaatsverhuur,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","148,148,143,143,143,143",24.00,2023-11-30 03:13:19.514987,"2023-11-30 22:03:15.856559,2023-11-30 22:03:43.908978,2023-11-30 22:11:34.376602,2023-11-30 22:11:46.613982,2023-11-30 22:11:46.626825"
591,"Schaatsverhuur,Schaatsverhuur,Entree schaatsbaan,Entree schaatsbaan","Kinderen,Kinderen,Kinderen,Kinderen","149,149,144,144",18.00,2023-11-30 11:12:28.086827,"2023-11-30 21:18:41.255028,2023-11-30 21:18:30.086290,2023-11-30 21:24:27.209186,2023-11-30 21:24:14.756957"
592,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-30 13:26:38.518714,"2023-12-03 14:56:25.387002,2023-12-03 14:56:14.781378"
593,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Kinderen,Kinderen","148,149,149",15.00,2023-11-30 14:17:53.967370,"2023-11-30 18:55:31.074656,2023-11-30 18:55:27.164746,2023-11-30 18:55:23.342141"
594,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","143,143,148,148",24.00,2023-11-30 15:11:32.992064,NULL
