date,deal_variant_key,Final_Forecast
2025-11-18,magisch kids pakket_niet geldig op woensdag,25.412209299777892
2025-11-18,magisch vrijthof pakket_alle dagen geldig,23.51483938391585
2025-11-18,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,22.386657641335336
2025-11-18,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),23.789087671548558
2025-11-18,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),19.813085378015607
2025-11-18,magisch vrijthof pakket_magisch vrijthof,21.91333374844095
2025-11-18,magisch vrijthof pakket_magisch vrijthof pakket,21.64857850754159
2025-11-18,magisch vrijthof pakket_niet geldig op woensdag,22.695953396292115
2025-11-18,magisch vrijthof pakket_weekend,21.75688684655338
2025-11-18,magisch vrijthof_magisch vrijthof,23.102389003640805
2025-11-18,magisch vrijthof_magisch vrijthof pakket,23.157977214553345
2025-11-18,magische fijnproevers_alle dagen geldig,21.9185748416652
2025-11-18,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),26.032913105624306
2025-11-18,soort pakket_basis,26.06471495353098
2025-11-18,soort pakket_standaard,26.100676524475393
2025-11-19,carrousel (5 tickets)_5 tickets,24.4738397838122
2025-11-19,carrousel (5 tickets)_alle dagen geldig,21.0205868134517
2025-11-19,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),23.091470891330886
2025-11-19,kids pakket_alle dagen geldig,24.522458278436044
2025-11-19,kids pakket_magisch vrijthof pakket,23.602159220947364
2025-11-19,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),27.91897581672575
2025-11-19,magisch kids pakket_5 tickets,25.9935642818474
2025-11-19,magisch kids pakket_alle dagen geldig,23.986721441517965
2025-11-19,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),25.005439532241326
2025-11-19,magisch kids pakket_niet geldig op woensdag,25.394747665226607
2025-11-19,magisch vrijthof pakket_alle dagen geldig,23.66270940192469
2025-11-19,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,22.137372060336116
2025-11-19,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.57876239847633
2025-11-19,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),17.919198264009736
2025-11-19,magisch vrijthof pakket_magisch vrijthof,21.42737884917147
2025-11-19,magisch vrijthof pakket_magisch vrijthof pakket,21.067302724641472
2025-11-19,magisch vrijthof pakket_niet geldig op woensdag,22.680395488050024
2025-11-19,magisch vrijthof pakket_weekend,21.703947536867947
2025-11-19,magisch vrijthof_magisch vrijthof,23.104644683963528
2025-11-19,magisch vrijthof_magisch vrijthof pakket,23.118332885284048
2025-11-19,magische fijnproevers_alle dagen geldig,21.236423549139133
2025-11-19,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.01512109706971
2025-11-19,soort pakket_basis,24.04237834632201
2025-11-19,soort pakket_standaard,24.075549692953466
2025-11-20,carrousel (5 tickets)_5 tickets,21.671378094327544
2025-11-20,carrousel (5 tickets)_alle dagen geldig,18.395768882421343
2025-11-20,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),20.677157479909475
2025-11-20,kids pakket_alle dagen geldig,22.690066289846705
2025-11-20,kids pakket_magisch vrijthof pakket,21.696049550325796
2025-11-20,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),29.921365669959368
2025-11-20,magisch kids pakket_5 tickets,25.403123594829115
2025-11-20,magisch kids pakket_alle dagen geldig,22.739007904989574
2025-11-20,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.24815381515525
2025-11-20,magisch kids pakket_niet geldig op woensdag,22.451857199870087
2025-11-20,magisch vrijthof pakket_alle dagen geldig,22.866694083122145
2025-11-20,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,19.557836613875526
2025-11-20,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),20.238317012751047
2025-11-20,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),17.651340692705222
2025-11-20,magisch vrijthof pakket_magisch vrijthof,22.21290678187458
2025-11-20,magisch vrijthof pakket_magisch vrijthof pakket,22.189934604007775
2025-11-20,magisch vrijthof pakket_niet geldig op woensdag,22.54071958780821
2025-11-20,magisch vrijthof pakket_weekend,22.684927026393318
2025-11-20,magisch vrijthof_magisch vrijthof,23.81171538476524
2025-11-20,magisch vrijthof_magisch vrijthof pakket,23.832895049296017
2025-11-20,magische fijnproevers_alle dagen geldig,23.260331300184223
2025-11-20,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),26.13680122415276
2025-11-20,soort pakket_basis,26.16883692002166
2025-11-20,soort pakket_standaard,26.204942148377693
2025-11-21,carrousel (5 tickets)_5 tickets,27.984571136070254
2025-11-21,carrousel (5 tickets)_alle dagen geldig,22.310053043141124
2025-11-21,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),23.123582744839467
2025-11-21,kids pakket_alle dagen geldig,26.115134744045164
2025-11-21,kids pakket_magisch vrijthof pakket,23.2265874145156
2025-11-21,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),27.898973227566827
2025-11-21,magisch kids pakket_5 tickets,24.663504264448864
2025-11-21,magisch kids pakket_alle dagen geldig,23.486747872885744
2025-11-21,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),30.647037347261513
2025-11-21,magisch kids pakket_niet geldig op woensdag,21.948985482828483
