deal_variant_key,slotDates,Model_Prediction,Applied_Growth_Rate,Final_Forecast
kids pakket_magisch vrijthof pakket,2025-11-14,0.5761709528796548,0.07312037280884874,25.96127915180879
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-14,0.6325404961584817,0.07311989040672406,28.50118169182395
magisch kids pakket_5 tickets,2025-11-14,0.5983617697641737,0.07116167224336399,26.91194891824307
magisch kids pakket_alle dagen geldig,2025-11-14,0.6126987339182299,0.0873235229154987,27.972549668268567
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-14,0.6112805967912238,0.08202230023486418,27.771741196698702
magisch kids pakket_niet geldig op woensdag,2025-11-14,0.7068289634882297,0.0841614515559209,32.17618762949431
magisch vrijthof pakket_alle dagen geldig,2025-11-14,0.6162604759827783,0.07041168988591606,27.697555774128336
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-14,0.4926010734373634,0.08939819704323988,22.532443629866034
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-14,0.5038563071284081,0.08664885281600843,22.98911285940277
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-14,0.4951608959630877,0.07424678221356552,22.334523365731048
magisch vrijthof pakket_magisch vrijthof,2025-11-14,0.5072093906521922,0.07363649934414201,22.864980754284048
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-14,0.5059444565481139,0.07366809019706869,22.808628676209437
magisch vrijthof pakket_niet geldig op woensdag,2025-11-14,0.5174526958874692,0.07608484485919076,23.379943436331143
magisch vrijthof pakket_weekend,2025-11-14,0.5113859934499569,0.08049512863264476,23.20053123111323
magisch vrijthof_magisch vrijthof,2025-11-14,0.5134032213694673,0.07863890037284232,23.25203431969875
magisch vrijthof_magisch vrijthof pakket,2025-11-14,0.5120919572396725,0.07582458280396084,23.132134347790114
magische fijnproevers_alle dagen geldig,2025-11-14,0.5177800146257276,0.08223705789444759,23.52848541845706
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-14,0.605339328918477,0.07278987721304084,27.267156138597535
soort pakket_basis,2025-11-14,0.6043869522571554,0.07584289297070437,27.301733463626437
soort pakket_standaard,2025-11-14,0.6043869522571554,0.07732723686587384,27.339401752982685
carrousel (5 tickets)_5 tickets,2025-11-17,0.4535331226563813,0.07749080237694725,20.518654039715827
carrousel (5 tickets)_alle dagen geldig,2025-11-17,0.38374531112856797,0.08901428612819832,17.547002834254073
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-17,0.4381603160797954,0.0846398788362281,19.954685916550826
kids pakket_alle dagen geldig,2025-11-17,0.4759299097393337,0.08197316968394074,21.621497881742254
kids pakket_magisch vrijthof pakket,2025-11-17,0.4629683587405367,0.07312037280884874,20.860563587328734
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-17,0.4751204180078115,0.07311989040672406,21.40810500098508
magisch kids pakket_5 tickets,2025-11-17,0.48332274175407286,0.07116167224336399,21.737947834195985
magisch kids pakket_alle dagen geldig,2025-11-17,0.4615862723465339,0.0873235229154987,21.073562282124037
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-17,0.5398090032877616,0.08202230023486418,24.524638952470717
magisch kids pakket_niet geldig op woensdag,2025-11-17,0.5643070453290115,0.0841614515559209,25.688321091916016
magisch vrijthof pakket_alle dagen geldig,2025-11-17,0.4940194545577857,0.07041168988591606,22.20348688482354
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-17,0.6226883291415426,0.08939819704323988,28.482864597617134
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-17,0.6141960550731096,0.08664885281600843,28.02351033045068
